instrument,year,total_months,valid_months,has_annual_backup,annual_return
AMTB,2013,0,0,False,
AMTB,2014,0,0,False,
AMTB,2015,0,0,False,
AMTB,2016,0,0,False,
AMTB,2017,0,0,False,
AMTB,2018,0,0,False,
AMTB,2019,0,0,False,
AMTB,2020,0,0,False,
AMTB,2021,0,0,False,
AMTB,2022,0,0,False,
AMTB,2023,5,5,False,
AUB,2013,0,0,False,
AUB,2014,0,0,False,
AUB,2015,0,0,False,
AUB,2016,0,0,False,
AUB,2017,0,0,False,
AUB,2018,0,0,False,
AUB,2019,0,0,False,
AUB,2020,0,0,False,
AUB,2021,0,0,False,
AUB,2022,0,0,False,
BCML,2013,0,0,False,
BCML,2014,0,0,False,
BCML,2015,0,0,False,
BCML,2016,0,0,False,
BCML,2017,0,0,False,
BCML,2018,8,8,False,
BFC,2013,0,0,False,
BFC,2014,0,0,False,
BFC,2015,0,0,False,
BFC,2016,0,0,False,
BFC,2017,0,0,False,
BFC,2018,2,2,False,
BFST,2013,0,0,False,
BFST,2014,0,0,False,
BFST,2015,0,0,False,
BFST,2016,0,0,False,
BFST,2017,0,0,False,
BHLIP.PK^B11,2013,0,0,False,
BLFY,2013,0,0,False,
BLFY,2014,0,0,False,
BLFY,2015,0,0,False,
BLFY,2016,0,0,False,
BLFY,2017,0,0,False,
BLFY,2018,0,0,False,
BLFY,2019,0,0,False,
BLFY,2020,0,0,False,
BLFY,2021,6,6,False,
BWB,2013,0,0,False,
BWB,2014,0,0,False,
BWB,2015,0,0,False,
BWB,2016,0,0,False,
BWB,2017,0,0,False,
BY,2013,0,0,False,
BY,2014,0,0,False,
BY,2015,0,0,False,
BY,2016,0,0,False,
BY,2017,6,6,False,
CBNK,2013,0,0,False,
CBNK,2014,0,0,False,
CBNK,2015,0,0,False,
CBNK,2016,0,0,False,
CBNK,2017,0,0,False,
CBNK,2018,4,4,False,
CCB,2013,0,0,False,
CCB,2014,0,0,False,
CCB,2015,0,0,False,
CCB,2016,0,0,False,
CCB,2017,0,0,False,
CCB,2018,6,6,False,
CFG,2013,0,0,False,
CFG,2014,4,4,False,
CIZnv.OQ^J24,2013,0,0,False,
CIZnv.OQ^J24,2014,3,3,False,
CIZnv.OQ^J24,2015,7,7,True,0.672514618
CIZnv.OQ^J24,2016,6,6,True,-7.115887307
CIZnv.OQ^J24,2017,8,8,True,-11.4138696
CIZnv.OQ^J24,2018,6,6,True,21.04395687
CIZnv.OQ^J24,2019,1,1,True,-10.33576642
CIZnv.OQ^J24,2020,2,2,True,8.987300554
CIZnv.OQ^J24,2021,0,0,True,-18.7331939
CIZnv.OQ^J24,2022,0,0,False,
CIZnv.OQ^J24,2023,6,6,False,
CLBK,2013,0,0,False,
CLBK,2014,0,0,False,
CLBK,2015,0,0,False,
CLBK,2016,0,0,False,
CLBK,2017,0,0,False,
COFS,2013,0,0,False,
COFS,2014,0,0,False,
COFS,2015,0,0,False,
COFS,2016,0,0,False,
COFS,2017,0,0,False,
COFS,2018,0,0,False,
COFS,2019,0,0,False,
CUBI,2013,8,8,False,
CWBC,2013,0,0,False,
EBC,2013,0,0,False,
EBC,2014,0,0,False,
EBC,2015,0,0,False,
EBC,2016,0,0,False,
EBC,2017,0,0,False,
EBC,2018,0,0,False,
EBC,2019,0,0,False,
EBC,2020,3,3,False,
EQBK,2013,0,0,False,
EQBK,2014,0,0,False,
EQBK,2015,0,0,False,
EQBK,2016,0,0,False,
EQBK,2017,0,0,False,
EQBK,2018,0,0,False,
EQBK,2019,0,0,False,
EQBK,2020,0,0,False,
EQBK,2021,0,0,False,
EQBK,2022,0,0,False,
EQBK,2023,8,8,False,
ESQ,2013,0,0,False,
ESQ,2014,0,0,False,
ESQ,2015,0,0,False,
ESQ,2016,0,0,False,
ESQ,2017,7,7,False,
FBK,2013,0,0,False,
FBK,2014,0,0,False,
FBK,2015,0,0,False,
FBK,2016,4,4,False,
FFWM,2013,0,0,False,
FFWM,2014,0,0,False,
FFWM,2015,0,0,False,
FFWM,2016,0,0,False,
FFWM,2017,0,0,False,
FFWM,2018,0,0,False,
FFWM,2019,0,0,False,
FFWM,2020,0,0,False,
FFWM,2021,0,0,False,
FFWM,2022,0,0,False,
FFWM,2023,5,5,False,
FHB,2013,0,0,False,
FHB,2014,0,0,False,
FHB,2015,0,0,False,
FHB,2016,5,5,False,
FMAO,2013,0,0,False,
FMAO,2014,0,0,False,
FMAO,2015,0,0,False,
FMAO,2016,0,0,False,
FMAO,2017,8,8,False,
FNWB,2013,0,0,False,
FNWB,2014,0,0,False,
FRAF,2013,0,0,False,
FRAF,2014,0,0,False,
FRAF,2015,0,0,False,
FRAF,2016,0,0,False,
FRAF,2017,0,0,False,
FRAF,2018,0,0,False,
FRAF,2019,8,8,False,
FRBA,2013,2,2,False,
FSBC,2013,0,0,False,
FSBC,2014,0,0,False,
FSBC,2015,0,0,False,
FSBC,2016,0,0,False,
FSBC,2017,0,0,False,
FSBC,2018,0,0,False,
FSBC,2019,0,0,False,
FSBC,2020,0,0,False,
FSBC,2021,8,8,False,
FVCB,2013,1,1,False,
GNTY.K^J25,2013,0,0,False,
GNTY.K^J25,2014,0,0,False,
GNTY.K^J25,2015,0,0,False,
GNTY.K^J25,2016,0,0,False,
GNTY.K^J25,2017,8,8,False,
HBT,2013,0,0,False,
HBT,2014,0,0,False,
HBT,2015,0,0,False,
HBT,2016,0,0,False,
HBT,2017,0,0,False,
HBT,2018,0,0,False,
HBT,2019,3,3,False,
HONE,2013,0,0,False,
HONE,2014,0,0,False,
HONE,2015,0,0,False,
HONE,2016,6,6,False,
ISTR,2013,0,0,False,
ISTR,2014,6,6,False,
JMSB,2013,2,2,False,
LOB,2013,0,0,False,
LOB,2014,0,0,False,
LOB,2015,0,0,False,
LOB,2016,0,0,False,
LOB,2017,0,0,False,
LOB,2018,0,0,False,
LOB,2019,0,0,False,
LOB,2020,0,0,False,
LOB,2021,0,0,False,
LOB,2022,1,1,False,
MBIN,2013,0,0,False,
MBIN,2014,0,0,False,
MBIN,2015,0,0,False,
MBIN,2016,0,0,False,
MBIN,2017,3,3,False,
MCB,2013,0,0,False,
MCB,2014,0,0,False,
MCB,2015,0,0,False,
MCB,2016,0,0,False,
MCB,2017,2,2,False,
MCBS,2013,0,0,False,
MCBS,2014,0,0,False,
MCBS,2015,0,0,False,
MCBS,2016,0,0,False,
MSBI,2013,0,0,False,
MSBI,2014,0,0,False,
MSBI,2015,0,0,False,
MSBI,2016,8,8,False,
MYFW,2013,0,0,False,
MYFW,2014,0,0,False,
MYFW,2015,0,0,False,
MYFW,2016,0,0,False,
MYFW,2017,0,0,False,
MYFW,2018,6,6,False,
NIC,2013,8,8,False,
OBK,2013,0,0,False,
OBK,2014,0,0,False,
OBK,2015,0,0,False,
OBK,2016,0,0,False,
OBK,2017,0,0,False,
OBK,2018,8,8,False,
PCB,2013,8,8,True,100.0
PCB,2014,8,8,True,122.2222222
PDLB,2013,0,0,False,
PDLB,2014,0,0,False,
PDLB,2015,0,0,False,
PDLB,2016,0,0,False,
PDLB,2017,3,3,False,
PFIS,2013,0,0,False,
PVBC,2013,0,0,False,
PVBC,2014,0,0,False,
PVBC,2015,6,6,False,
RBB,2013,0,0,False,
RBB,2014,0,0,False,
RBB,2015,0,0,False,
RBB,2016,0,0,False,
RBB,2017,6,6,False,
RMBI,2013,0,0,False,
RMBI,2014,0,0,False,
RMBI,2015,0,0,False,
RMBI,2016,0,0,False,
RMBI,2017,0,0,False,
RMBI,2018,0,0,False,
RMBI,2019,6,6,False,
RNST,2013,0,0,False,
RNST,2014,0,0,False,
RNST,2015,0,0,False,
RNST,2016,0,0,False,
RNST,2017,0,0,False,
RNST,2018,0,0,False,
RNST,2019,0,0,False,
RNST,2020,0,0,False,
RNST,2021,0,0,False,
RNST,2022,0,0,False,
RNST,2023,3,3,False,
RRBI,2013,0,0,False,
RRBI,2014,0,0,False,
RRBI,2015,0,0,False,
RRBI,2016,0,0,False,
RRBI,2017,0,0,False,
RRBI,2018,0,0,False,
RRBI,2019,8,8,False,
SFBS,2013,0,0,False,
SFBS,2014,0,0,False,
SFBS,2015,0,0,False,
SFBS,2016,0,0,False,
SFBS,2017,0,0,False,
SFBS,2018,0,0,False,
SFBS,2019,0,0,False,
SFBS,2020,0,0,False,
SFBS,2021,7,7,False,
SPFI,2013,0,0,False,
SPFI,2014,0,0,False,
SPFI,2015,0,0,False,
SPFI,2016,0,0,False,
SPFI,2017,0,0,False,
SPFI,2018,0,0,False,
SPFI,2019,8,8,False,
SSB,2013,0,0,False,
SSB,2014,0,0,False,
SSB,2015,0,0,False,
SSB,2016,0,0,False,
SSB,2017,0,0,False,
SSB,2018,0,0,False,
SSB,2019,0,0,False,
SSB,2020,0,0,False,
SSB,2021,0,0,False,
SSB,2022,0,0,False,
SSB,2023,1,1,False,
STEL,2013,0,0,False,
STEL,2014,0,0,False,
STEL,2015,0,0,False,
STEL,2016,0,0,False,
STEL,2017,2,2,False,
TFIN,2013,0,0,False,
TFIN,2014,2,2,False,
VABK,2013,0,0,False,
VABK,2014,0,0,False,
VABK,2015,0,0,False,
VABK,2016,0,0,False,
VABK,2017,0,0,False,
VABK,2018,0,0,False,
VABK,2019,0,0,False,
VABK,2020,0,0,False,
VBTX,2013,0,0,False,
VBTX,2014,3,3,False,
